'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 29 02 42 11,3.47,0.26,2.31,0.21,-4.63,0.22,6.94,0.26,00,-00,0982,2500
2022 01 29 02 47 11,3.18,0.27,2.02,0.22,-4.92,0.23,6.65,0.27,00,-00,0982,2500
2022 01 29 02 52 11,3.18,0.27,2.02,0.23,-5.21,0.23,6.65,0.27,00,-00,0982,1200
2022 01 29 02 57 12,3.18,0.27,2.02,0.23,-4.92,0.24,6.36,0.27,00,-00,0982,1200
2022 01 29 03 02 12,3.18,0.27,2.02,0.23,-5.21,0.24,6.36,0.27,00,-00,0982,1200
2022 01 29 03 07 12,2.89,0.28,2.02,0.23,-5.21,0.25,6.36,0.27,00,-00,0982,1200
2022 01 29 03 12 13,2.89,0.28,2.02,0.24,-5.21,0.25,6.07,0.27,00,-00,0982,1200
2022 01 29 03 17 13,2.89,0.28,1.74,0.25,-5.21,0.24,5.78,0.28,00,-00,0982,1200
2022 01 29 03 22 13,2.89,0.29,1.74,0.25,-5.21,0.24,5.78,0.28,00,00,0982,6000
2022 01 29 03 27 13,2.89,0.29,1.74,0.26,-5.21,0.23,5.50,0.28,00,00,0982,6000
2022 01 29 03 32 14,2.60,0.29,1.74,0.26,-5.21,0.23,5.50,0.28,00,00,0982,6000
2022 01 29 03 37 14,2.60,0.30,1.45,0.26,-4.92,0.23,5.21,0.28,00,00,0982,6000
2022 01 29 03 42 15,2.60,0.30,1.45,0.26,-4.92,0.22,5.21,0.28,00,00,0982,6000
2022 01 29 03 47 15,2.60,0.30,1.45,0.26,-4.92,0.22,5.21,0.28,00,00,0982,6000
2022 01 29 03 52 16,2.60,0.30,1.45,0.26,-4.63,0.22,5.21,0.28,00,00,0982,6000
2022 01 29 03 57 16,2.60,0.31,1.45,0.27,-4.63,0.22,5.21,0.29,00,00,0982,6000
2022 01 29 04 02 16,2.60,0.30,1.45,0.27,-4.63,0.21,4.92,0.29,00,00,0982,6000
2022 01 29 04 07 17,2.60,0.30,1.45,0.27,-4.63,0.21,4.92,0.29,00,00,0982,6000
2022 01 29 04 12 17,2.60,0.31,1.45,0.27,-4.63,0.20,4.92,0.29,00,00,0982,6000
2022 01 29 04 17 18,2.60,0.31,1.45,0.27,-4.63,0.20,4.92,0.29,00,00,0982,6000
2022 01 29 04 22 18,2.60,0.30,1.45,0.27,-4.34,0.20,4.63,0.28,00,00,0983,4000
2022 01 29 04 27 18,2.60,0.30,1.45,0.27,-4.34,0.19,4.63,0.29,00,00,0983,4000
2022 01 29 04 32 19,2.60,0.30,1.16,0.27,-4.34,0.18,4.34,0.28,00,00,0983,4000
2022 01 29 04 37 19,2.60,0.29,1.16,0.27,-4.05,0.17,3.47,0.29,00,00,0983,4000
2022 01 29 04 42 19,2.60,0.29,0.58,0.28,-4.05,0.18,2.31,0.29,00,00,0983,4000
2022 01 29 04 47 20,2.60,0.29,0.58,0.28,-4.05,0.19,1.16,0.31,00,00,0983,4000
2022 01 29 04 52 20,2.60,0.29,0.58,0.28,-4.05,0.18,1.16,0.31,00,00,0983,3000
2022 01 29 04 57 21,2.31,0.31,0.29,0.29,-4.05,0.19,0.29,0.32,00,00,0983,3000
2022 01 29 05 02 21,2.31,0.31,0.29,0.29,-4.05,0.19,1.16,0.32,00,00,0983,3000
2022 01 29 05 07 21,2.31,0.30,0.58,0.28,-4.05,0.18,1.74,0.31,00,00,0983,3000
2022 01 29 05 12 22,2.31,0.30,0.87,0.28,-4.05,0.18,2.60,0.30,00,00,0983,3000
2022 01 29 05 17 22,2.31,0.30,0.87,0.28,-4.05,0.18,2.60,0.29,00,00,0983,3000
2022 01 29 05 22 22,2.31,0.29,0.87,0.27,-3.76,0.18,3.18,0.29,00,-00,0984,4000
2022 01 29 05 27 22,2.31,0.29,0.87,0.27,-3.76,0.17,3.18,0.29,00,-00,0984,4000
2022 01 29 05 32 23,2.31,0.29,0.87,0.26,-3.47,0.17,3.18,0.28,00,-00,0984,4000
2022 01 29 05 37 23,2.31,0.29,1.16,0.26,-3.47,0.17,3.47,0.28,00,-00,0984,4000
2022 01 29 05 42 24,2.31,0.28,1.16,0.26,-3.18,0.16,3.47,0.28,00,-00,0984,4000
2022 01 29 05 47 24,2.31,0.28,0.87,0.25,-3.18,0.16,3.76,0.28,00,-00,0984,4000
2022 01 29 05 52 24,2.31,0.28,1.16,0.25,-2.89,0.16,3.76,0.27,00,00,0985,4000
2022 01 29 05 57 25,2.31,0.28,0.87,0.25,-2.89,0.16,3.76,0.27,00,00,0985,4000
2022 01 29 06 02 25,2.31,0.28,0.87,0.25,-2.89,0.16,3.76,0.27,00,00,0985,4000
2022 01 29 06 07 25,2.31,0.27,1.16,0.25,-2.60,0.15,3.76,0.26,00,00,0985,4000
2022 01 29 06 12 25,2.60,0.27,0.87,0.25,-2.60,0.15,3.76,0.26,00,00,0985,4000
2022 01 29 06 17 26,2.31,0.27,1.16,0.24,-2.60,0.14,4.05,0.26,00,00,0985,4000
2022 01 29 06 22 26,2.31,0.27,1.16,0.24,-2.60,0.15,4.05,0.26,00,00,0986,9999
2022 01 29 06 27 27,2.31,0.26,1.16,0.24,-2.60,0.14,4.05,0.26,00,00,0986,9999
2022 01 29 06 32 27,2.31,0.26,1.16,0.24,-2.31,0.14,4.05,0.26,00,00,0986,9999
2022 01 29 06 37 28,2.60,0.26,1.16,0.24,-2.31,0.14,4.05,0.26,00,00,0986,9999
2022 01 29 06 42 28,2.31,0.26,1.16,0.23,-2.31,0.14,4.05,0.26,00,00,0986,9999
2022 01 29 06 47 28,2.31,0.26,1.16,0.23,-2.31,0.14,4.05,0.26,00,00,0986,9999
2022 01 29 06 52 28,2.60,0.26,1.16,0.23,-2.31,0.14,4.05,0.26,00,-00,0987,9999
2022 01 29 06 57 29,2.60,0.26,1.16,0.23,-2.02,0.14,4.05,0.26,00,-00,0987,9999
2022 01 29 07 02 30,2.31,0.26,1.16,0.23,-2.02,0.14,4.05,0.26,00,-00,0987,9999
2022 01 29 07 07 30,2.31,0.26,1.45,0.23,-2.02,0.14,4.05,0.25,00,-00,0987,9999
2022 01 29 07 12 31,2.31,0.26,1.45,0.23,-1.74,0.14,4.34,0.25,00,-00,0987,9999
2022 01 29 07 17 32,2.31,0.26,1.16,0.23,-1.74,0.13,4.34,0.25,00,-00,0987,9999
