Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-09 21:37:57,2.89,0.31,1.74,0.28,-0.87,0.16,4.63,0.31
2022-02-09 21:42:57,2.89,0.31,1.74,0.27,-0.58,0.17,4.92,0.30
2022-02-09 21:47:58,2.89,0.31,1.16,0.28,-0.87,0.17,4.63,0.31
2022-02-09 21:52:58,2.89,0.31,1.45,0.27,-0.58,0.17,4.63,0.30
2022-02-09 21:57:58,2.89,0.31,1.45,0.27,-0.87,0.17,4.92,0.31
2022-02-09 22:02:59,2.89,0.31,1.45,0.27,-0.58,0.17,4.92,0.31
2022-02-09 22:07:59,2.89,0.31,1.45,0.27,-0.87,0.16,4.63,0.30
2022-02-09 22:12:59,2.89,0.31,1.45,0.27,-0.87,0.16,4.63,0.31
2022-02-09 22:18:00,2.89,0.31,1.45,0.27,-0.58,0.16,4.92,0.30
2022-02-09 22:22:59,2.60,0.31,1.45,0.27,-0.58,0.16,4.92,0.31
2022-02-09 22:27:59,2.89,0.31,1.74,0.27,-0.58,0.16,4.63,0.31
2022-02-09 22:33:00,2.89,0.31,1.45,0.27,-0.58,0.17,4.63,0.30
2022-02-09 22:38:01,2.89,0.31,1.45,0.27,-0.58,0.16,4.63,0.30
2022-02-09 22:43:01,2.60,0.31,1.45,0.27,-0.58,0.17,4.92,0.30
2022-02-09 22:48:01,2.89,0.31,1.45,0.27,-0.58,0.16,4.63,0.30
2022-02-09 22:53:01,2.89,0.31,1.16,0.28,-0.58,0.17,4.63,0.31
2022-02-09 22:58:01,2.60,0.31,1.45,0.28,-0.58,0.16,4.63,0.31
2022-02-09 23:03:02,2.60,0.31,1.45,0.27,-0.58,0.16,4.92,0.31
2022-02-09 23:08:02,2.60,0.31,1.45,0.27,-0.58,0.16,4.92,0.30
2022-02-09 23:13:03,2.89,0.31,1.45,0.27,-0.58,0.17,4.63,0.30
2022-02-09 23:18:03,2.60,0.31,1.74,0.28,-0.58,0.16,4.92,0.31
2022-02-09 23:23:04,2.89,0.31,1.45,0.28,-0.58,0.15,4.63,0.31
2022-02-09 23:28:04,2.89,0.31,1.45,0.28,-0.58,0.16,4.63,0.31
2022-02-09 23:33:05,2.60,0.31,1.45,0.28,-0.87,0.16,4.63,0.31
2022-02-09 23:38:06,2.89,0.35,1.45,0.31,-1.16,0.13,4.34,0.32
2022-02-09 23:43:06,2.60,0.36,1.16,0.32,-0.29,0.08,4.05,0.34
2022-02-09 23:48:06,2.60,0.36,1.16,0.34,0.00,0.08,3.47,0.35
2022-02-09 23:53:06,2.60,0.36,1.16,0.33,0.29,0.09,3.47,0.35
2022-02-09 23:58:07,2.89,0.35,1.16,0.32,0.29,0.13,3.76,0.35
2022-02-10 00:03:07,2.89,0.35,0.87,0.33,0.00,0.14,3.18,0.35
2022-02-10 00:08:07,2.60,0.35,0.87,0.33,-0.29,0.16,3.47,0.35
2022-02-10 00:13:08,2.60,0.35,0.87,0.33,-0.29,0.18,3.47,0.34
2022-02-10 00:18:08,2.60,0.35,0.87,0.32,-0.58,0.18,3.76,0.34
2022-02-10 00:23:09,2.31,0.35,1.16,0.32,-0.29,0.18,3.76,0.34
2022-02-10 00:28:09,2.60,0.35,1.16,0.32,-0.29,0.17,3.47,0.34
2022-02-10 00:33:09,2.60,0.35,1.16,0.32,-0.58,0.17,3.76,0.34
2022-02-10 00:38:09,2.60,0.35,0.87,0.32,-0.58,0.17,3.47,0.34
2022-02-10 00:43:09,2.60,0.35,1.16,0.32,-0.29,0.17,3.47,0.34
2022-02-10 00:48:09,2.31,0.35,1.16,0.32,-0.29,0.17,3.47,0.34
2022-02-10 00:53:10,2.60,0.34,1.45,0.31,-0.58,0.18,3.18,0.34
2022-02-10 00:58:10,2.60,0.34,1.16,0.31,-0.87,0.18,3.47,0.34
2022-02-10 01:03:10,2.31,0.34,1.16,0.31,-1.16,0.19,3.47,0.34
