15,Timestamp,MON1 CL DDM (ｵA),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (ｵA),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (ｵA),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (ｵA),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (ｵA),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (ｵA),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (ｵA),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (ｵA),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (ｵA),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (ｵA),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
59,"2022-01-28 17:46:34,5"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"80,01", ," 0,31", ,"-2,89", ,"79,97", ," 0,15", ," 2,02", ,"79,97", ," 0,36", ,"14,74", ,"-60,45",a,"54,73",a,"-5,03",a," 0,00", ," 1,74", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-60,45",a,"54,09",a,"-3,69",a," 0,00", 
60,"2022-01-28 17:51:34,3"," 1,74", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,97", ," 0,14", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ,"-58,71",a,"61,99",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,94", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-61,32",a,"53,72",a,"-5,03",a," 0,00", 
61,"2022-01-28 17:56:34,9"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-3,18", ,"79,94", ," 0,15", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ," 0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,97", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,74", ,"-42,81",a,"63,10",a,"-4,27",a," 0,00", 
62,"2022-01-28 18:01:35,3"," 2,02", ,"79,94", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,97", ," 0,14", ," 2,02", ,"80,01", ," 0,36", ,"14,74", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 1,16", ,"80,04", ," 0,34", ,"-2,89", ,"79,97", ," 0,16", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-65,37",a,"57,90",a,"-1,43", ," 0,00", 
63,"2022-01-28 18:06:35,4"," 2,02", ,"79,90", ," 0,33", ," 0,87", ,"79,97", ," 0,31", ,"-2,89", ,"79,94", ," 0,16", ," 2,31", ,"80,01", ," 0,36", ,"14,74", ,"-59,00",a,"55,07",a,"-3,32",a," 0,00", ," 2,02", ,"79,97", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-2,89", ,"79,97", ," 0,17", ," 0,58", ,"79,97", ," 0,39", ,"14,76", ,"-0,87", ,"77,88", ," 0,01", ," 0,00", 
64,"2022-01-28 18:11:35,5"," 2,60", ,"79,97", ," 0,34", ," 0,87", ,"79,97", ," 0,32", ,"-2,89", ,"79,94", ," 0,16", ," 1,74", ,"79,97", ," 0,38", ,"14,74", ,"-10,41", ,"72,24", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,37", ," 1,16", ,"80,01", ," 0,35", ,"-2,89", ,"79,94", ," 0,17", ," 0,29", ,"79,97", ," 0,41", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
65,"2022-01-28 18:16:35,5"," 2,89", ,"79,94", ," 0,35", ," 1,16", ,"79,97", ," 0,32", ,"-2,89", ,"79,97", ," 0,13", ," 2,89", ,"80,07", ," 0,39", ,"14,76", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,38", ," 1,45", ,"80,01", ," 0,35", ,"-2,89", ,"79,94", ," 0,15", ," 1,45", ,"80,04", ," 0,42", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
66,"2022-01-28 18:21:36,2"," 2,89", ,"79,94", ," 0,35", ," 1,16", ,"80,01", ," 0,33", ,"-2,89", ,"79,97", ," 0,14", ," 2,31", ,"80,04", ," 0,40", ,"14,74", ,"-46,86",a,"59,73",a,"-1,16", ," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 1,45", ,"80,01", ," 0,36", ,"-2,89", ,"79,94", ," 0,16", ," 0,58", ,"80,01", ," 0,43", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
67,"2022-01-28 18:26:36,3"," 2,89", ,"79,97", ," 0,36", ," 0,87", ,"80,01", ," 0,34", ,"-2,89", ,"79,97", ," 0,14", ," 1,16", ,"79,97", ," 0,41", ,"14,76", ," 0,58", ,"78,66", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 1,16", ,"80,01", ," 0,37", ,"-2,89", ,"79,97", ," 0,16", ,"-0,29", ,"79,94", ," 0,45", ,"14,74", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", 
68,"2022-01-28 18:31:36,4"," 2,60", ,"79,97", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-3,18", ,"79,94", ," 0,14", ," 0,87", ,"79,97", ," 0,41", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 0,87", ,"80,01", ," 0,38", ,"-3,18", ,"79,97", ," 0,16", ,"-0,58", ,"79,94", ," 0,45", ,"14,74", ,"-0,29", ,"79,84", ," 0,01", ," 0,00", 
69,"2022-01-28 18:36:36,5"," 2,89", ,"79,97", ," 0,36", ," 0,58", ,"79,97", ," 0,35", ,"-3,47", ,"79,94", ," 0,15", ," 0,29", ,"79,94", ," 0,42", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,39", ," 1,16", ,"79,97", ," 0,38", ,"-3,18", ,"79,94", ," 0,17", ,"-0,87", ,"79,94", ," 0,45", ,"14,78", ,"-39,91",a,"63,78",a,"-3,87",a," 0,00", 
70,"2022-01-28 18:41:37,1"," 2,60", ,"79,97", ," 0,36", ," 0,58", ,"79,97", ," 0,35", ,"-3,76", ,"79,94", ," 0,14", ," 0,00", ,"79,90", ," 0,41", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,39", ," 0,87", ,"79,94", ," 0,38", ,"-3,76", ,"79,94", ," 0,16", ,"-1,45", ,"79,90", ," 0,45", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
71,"2022-01-28 18:46:37,5"," 2,89", ,"79,94", ," 0,36", ," 1,45", ,"80,01", ," 0,34", ,"-3,18", ,"79,94", ," 0,13", ," 2,89", ,"80,07", ," 0,38", ,"14,76", ,"-60,74",a,"54,77",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,40", ," 1,16", ,"80,01", ," 0,37", ,"-3,18", ,"79,94", ," 0,14", ," 1,45", ,"80,04", ," 0,42", ,"14,78", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
72,"2022-01-28 18:51:38,1"," 2,89", ,"79,94", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-3,76", ,"79,94", ," 0,15", ," 2,89", ,"80,07", ," 0,39", ,"14,74", ,"-7,81", ,"75,96", ,"-1,57", ," 0,00", ," 3,18", ,"79,97", ," 0,39", ," 1,45", ,"80,01", ," 0,37", ,"-3,47", ,"79,97", ," 0,17", ," 1,16", ,"80,04", ," 0,42", ,"14,74", ,"-64,21",a,"53,99",a,"-5,03",a," 0,00", 
73,"2022-01-28 18:56:38,2"," 2,89", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-3,47", ,"79,94", ," 0,14", ," 2,89", ,"80,04", ," 0,38", ,"14,72", ,"-68,26",a,"56,12",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,39", ," 1,16", ,"79,97", ," 0,36", ,"-3,47", ,"79,97", ," 0,16", ," 1,16", ,"80,04", ," 0,42", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
74,"2022-01-28 19:01:38,6"," 2,60", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-3,18", ,"79,94", ," 0,08", ," 3,18", ,"80,07", ," 0,38", ,"14,74", ,"-29,79",a,"68,30", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,40", ," 1,45", ,"80,01", ," 0,37", ,"-3,18", ,"80,01", ," 0,10", ," 1,45", ,"80,07", ," 0,42", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
75,"2022-01-28 19:06:39,3"," 2,89", ,"79,94", ," 0,36", ," 0,87", ,"79,97", ," 0,34", ,"-4,05", ,"79,94", ," 0,08", ," 2,02", ,"80,01", ," 0,38", ,"14,76", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 1,16", ,"80,01", ," 0,37", ,"-4,05", ,"79,94", ," 0,10", ," 0,29", ,"80,01", ," 0,42", ,"14,74", ,"-46,28",a,"65,09", ,"-0,16", ," 0,00", 
76,"2022-01-28 19:11:39,7"," 2,60", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-4,34", ,"79,97", ," 0,11", ," 3,18", ,"80,11", ," 0,38", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 1,45", ,"80,01", ," 0,36", ,"-4,34", ,"79,97", ," 0,12", ," 1,45", ,"80,04", ," 0,41", ,"14,72", ,"-25,45",a,"69,78", ,"-3,14",a," 0,00", 
77,"2022-01-28 19:16:40,0"," 2,60", ,"79,94", ," 0,36", ," 1,16", ,"79,97", ," 0,34", ,"-4,05", ,"79,97", ," 0,11", ," 3,18", ,"80,07", ," 0,38", ,"14,76", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 2,31", ,"79,97", ," 0,39", ," 1,45", ,"80,01", ," 0,36", ,"-4,05", ,"79,94", ," 0,12", ," 1,74", ,"80,04", ," 0,41", ,"14,74", ,"-68,84",a,"55,81",a,"-2,31", ," 0,00", 
78,"2022-01-28 19:21:40,4"," 2,60", ,"79,94", ," 0,35", ," 1,45", ,"79,94", ," 0,32", ,"-4,92", ,"79,94", ," 0,11", ," 3,76", ,"80,14", ," 0,36", ,"14,76", ," 0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,39", ," 1,45", ,"79,97", ," 0,36", ,"-4,92", ,"79,94", ," 0,13", ," 2,02", ,"80,07", ," 0,41", ,"14,74", ,"-3,18", ,"78,28", ,"-0,77", ," 0,00", 
79,"2022-01-28 19:26:41,0"," 2,89", ,"79,97", ," 0,35", ," 1,45", ,"79,97", ," 0,32", ,"-5,21", ,"79,94", ," 0,14", ," 3,76", ,"80,11", ," 0,36", ,"14,74", ,"-8,10", ,"76,26", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,38", ," 1,45", ,"79,97", ," 0,35", ,"-5,21", ,"79,94", ," 0,16", ," 2,02", ,"80,11", ," 0,40", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
80,"2022-01-28 19:31:40,9"," 3,18", ,"79,94", ," 0,31", ," 2,02", ,"79,97", ," 0,27", ,"-5,50", ,"79,94", ," 0,19", ," 5,50", ,"80,24", ," 0,33", ,"14,74", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 2,02", ,"80,01", ," 0,31", ,"-5,50", ,"79,94", ," 0,20", ," 3,76", ,"80,24", ," 0,36", ,"14,74", ,"-32,10",a,"63,61",a,"-0,40", ," 0,00", 
81,"2022-01-28 19:36:41,5"," 2,89", ,"79,90", ," 0,31", ," 1,74", ,"79,97", ," 0,28", ,"-4,63", ,"79,94", ," 0,17", ," 5,50", ,"80,24", ," 0,33", ,"14,76", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,94", ," 0,35", ," 2,02", ,"79,97", ," 0,31", ,"-4,63", ,"79,94", ," 0,19", ," 3,76", ,"80,24", ," 0,36", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
82,"2022-01-28 19:41:42,4"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,27", ,"-4,05", ,"79,94", ," 0,16", ," 4,92", ,"80,21", ," 0,34", ,"14,74", ,"-60,74",a,"54,77",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,35", ," 1,74", ,"80,01", ," 0,31", ,"-4,05", ,"79,94", ," 0,17", ," 3,47", ,"80,21", ," 0,37", ,"14,76", ,"-27,48",a,"60,74",a,"-0,64", ," 0,00", 
83,"2022-01-28 19:46:42,6"," 2,89", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,29", ,"-4,05", ,"79,94", ," 0,16", ," 4,34", ,"80,17", ," 0,35", ,"14,74", ,"-64,21",a,"56,86",a,"-2,31", ," 0,00", ," 2,89", ,"79,97", ," 0,36", ," 1,74", ,"79,97", ," 0,32", ,"-4,05", ,"79,97", ," 0,17", ," 2,89", ,"80,14", ," 0,38", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", 
84,"2022-01-28 19:51:43,3"," 3,18", ,"79,97", ," 0,32", ," 1,45", ,"80,01", ," 0,28", ,"-3,76", ,"79,94", ," 0,14", ," 4,34", ,"80,17", ," 0,35", ,"14,74", ,"-3,76", ,"78,52", ,"-0,77", ," 0,00", ," 2,89", ,"79,94", ," 0,35", ," 1,74", ,"80,01", ," 0,32", ,"-3,47", ,"79,97", ," 0,16", ," 2,89", ,"80,14", ," 0,38", ,"14,76", ,"-67,97",a,"54,63",a,"-5,03",a," 0,00", 
85,"2022-01-28 19:56:43,4"," 3,18", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,28", ,"-3,76", ,"79,94", ," 0,14", ," 4,34", ,"80,17", ," 0,35", ,"14,74", ,"-36,44",a,"58,71",a,"-5,03",a," 0,00", ," 3,18", ,"79,94", ," 0,35", ," 1,74", ,"79,97", ," 0,32", ,"-3,76", ,"79,94", ," 0,16", ," 2,89", ,"80,14", ," 0,38", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
86,"2022-01-28 20:01:43,3"," 2,89", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,28", ,"-3,76", ,"79,94", ," 0,14", ," 4,34", ,"80,17", ," 0,35", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,35", ," 2,31", ,"79,97", ," 0,32", ,"-3,76", ,"79,97", ," 0,16", ," 2,89", ,"80,14", ," 0,38", ,"14,74", ,"-17,64", ,"71,50", ,"-2,47", ," 0,00", 
87,"2022-01-28 20:06:43,3"," 2,89", ,"79,94", ," 0,33", ," 1,45", ,"79,97", ," 0,29", ,"-4,34", ,"79,94", ," 0,17", ," 4,63", ,"80,17", ," 0,35", ,"14,74", ,"-2,89", ,"78,45", ,"-0,77", ," 0,00", ," 2,89", ,"79,94", ," 0,36", ," 2,02", ,"79,97", ," 0,32", ,"-4,05", ,"79,94", ," 0,19", ," 2,89", ,"80,14", ," 0,38", ,"14,74", ,"-56,11",a,"54,50",a,"-5,03",a," 0,00", 
88,"2022-01-28 20:11:44,2"," 3,18", ,"79,94", ," 0,31", ," 2,02", ,"79,97", ," 0,27", ,"-4,63", ,"79,94", ," 0,17", ," 5,78", ,"80,28", ," 0,33", ,"14,72", ,"-59,29",a,"55,07",a,"-5,03",a," 0,00", ," 3,47", ,"79,94", ," 0,34", ," 2,02", ,"80,01", ," 0,30", ,"-4,63", ,"79,94", ," 0,18", ," 4,05", ,"80,24", ," 0,36", ,"14,74", ,"-61,90",a,"53,75",a,"-5,03",a," 0,00", 
89,"2022-01-28 20:16:44,6"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,27", ,"-5,21", ,"79,94", ," 0,17", ," 5,21", ,"80,21", ," 0,33", ,"14,72", ,"-23,43",a,"74,30", ," 0,01", ," 0,00", ," 3,18", ,"79,97", ," 0,34", ," 2,02", ,"79,97", ," 0,31", ,"-5,21", ,"79,94", ," 0,19", ," 3,47", ,"80,17", ," 0,37", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
90,"2022-01-28 20:21:45,0"," 3,47", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,28", ,"-5,21", ,"79,94", ," 0,17", ," 4,92", ,"80,21", ," 0,35", ,"14,74", ,"-49,17",a,"59,52",a,"-5,03",a," 0,00", ," 3,18", ,"79,94", ," 0,35", ," 2,02", ,"79,97", ," 0,31", ,"-5,21", ,"79,94", ," 0,19", ," 3,18", ,"80,17", ," 0,38", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
91,"2022-01-28 20:26:45,3"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,28", ,"-5,78", ,"79,94", ," 0,19", ," 4,92", ,"80,21", ," 0,33", ,"14,74", ,"-59,00",a,"62,39",a,"-0,64", ," 0,00", ," 3,47", ,"79,97", ," 0,35", ," 2,02", ,"80,01", ," 0,31", ,"-5,50", ,"79,97", ," 0,20", ," 3,47", ,"80,17", ," 0,37", ,"14,74", ,"-0,29", ,"79,84", ," 0,01", ," 0,00", 
92,"2022-01-28 20:31:45,4"," 3,18", ,"79,97", ," 0,32", ," 1,74", ,"80,01", ," 0,28", ,"-5,78", ,"79,94", ," 0,20", ," 5,50", ,"80,24", ," 0,32", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,35", ," 2,02", ,"79,97", ," 0,32", ,"-5,78", ,"79,94", ," 0,22", ," 4,05", ,"80,24", ," 0,36", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
93,"2022-01-28 20:36:45,3"," 2,89", ,"79,94", ," 0,32", ," 2,02", ,"80,01", ," 0,28", ,"-5,78", ,"79,97", ," 0,21", ," 5,78", ,"80,24", ," 0,33", ,"14,74", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 1,74", ,"79,97", ," 0,31", ,"-5,78", ,"79,97", ," 0,22", ," 4,05", ,"80,21", ," 0,36", ,"14,74", ,"-15,04", ,"69,71", ," 0,01", ," 0,00", 
94,"2022-01-28 20:41:45,9"," 3,18", ,"79,94", ," 0,32", ," 2,02", ,"79,97", ," 0,28", ,"-5,50", ,"79,94", ," 0,19", ," 5,78", ,"80,24", ," 0,32", ,"14,76", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 2,02", ,"80,01", ," 0,31", ,"-5,50", ,"79,94", ," 0,20", ," 4,05", ,"80,21", ," 0,36", ,"14,74", ,"-61,90",a,"53,75",a,"-5,03",a," 0,00", 
95,"2022-01-28 20:46:46,3"," 3,18", ,"79,97", ," 0,32", ," 1,74", ,"80,01", ," 0,28", ,"-5,78", ,"79,90", ," 0,20", ," 5,78", ,"80,28", ," 0,32", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"80,01", ," 0,35", ," 2,02", ,"80,01", ," 0,31", ,"-5,78", ,"79,87", ," 0,22", ," 4,34", ,"80,24", ," 0,36", ,"14,76", ," 0,00", ,"79,87", ," 0,01", ," 0,00", 
96,"2022-01-28 20:51:46,3"," 3,18", ,"79,97", ," 0,32", ," 1,74", ,"79,97", ," 0,28", ,"-5,21", ,"79,94", ," 0,19", ," 5,21", ,"80,21", ," 0,34", ,"14,72", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 2,02", ,"79,97", ," 0,31", ,"-5,21", ,"79,94", ," 0,20", ," 3,47", ,"80,17", ," 0,37", ,"14,76", ,"-2,60", ,"74,00", ,"-1,86", ," 0,00", 
97,"2022-01-28 20:56:46,4"," 2,89", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,28", ,"-5,21", ,"79,90", ," 0,19", ," 5,21", ,"80,24", ," 0,33", ,"14,76", ,"-0,29", ,"79,77", ,"-0,28", ," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 2,02", ,"80,01", ," 0,31", ,"-5,21", ,"79,94", ," 0,20", ," 3,47", ,"80,17", ," 0,36", ,"14,74", ,"-62,18",a,"54,90",a,"-5,03",a," 0,00", 
98,"2022-01-28 21:01:46,8"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,94", ," 0,27", ,"-5,21", ,"79,94", ," 0,19", ," 5,21", ,"80,21", ," 0,33", ,"14,74", ,"-60,74",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,34", ," 2,02", ,"80,01", ," 0,31", ,"-5,21", ,"79,94", ," 0,20", ," 3,47", ,"80,17", ," 0,36", ,"14,74", ,"-34,71",a,"69,44", ," 0,01", ," 0,00", 
99,"2022-01-28 21:06:46,9"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,27", ,"-4,92", ,"79,94", ," 0,17", ," 4,34", ,"80,17", ," 0,34", ,"14,74", ,"-37,89",a,"60,30",a,"-0,90", ," 0,00", ," 3,47", ,"80,01", ," 0,34", ," 1,74", ,"80,01", ," 0,31", ,"-4,92", ,"79,97", ," 0,19", ," 2,60", ,"80,17", ," 0,38", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
100,"2022-01-28 21:11:47,3"," 3,18", ,"79,97", ," 0,32", ," 1,45", ,"79,97", ," 0,29", ,"-5,50", ,"79,94", ," 0,20", ," 4,05", ,"80,14", ," 0,35", ,"14,76", ,"-16,20", ,"72,65", ,"-2,16", ," 0,00", ," 2,89", ,"79,94", ," 0,35", ," 1,74", ,"80,01", ," 0,32", ,"-5,50", ,"79,94", ," 0,21", ," 2,31", ,"80,11", ," 0,38", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
101,"2022-01-28 21:16:47,6"," 3,18", ,"79,94", ," 0,31", ," 1,74", ,"79,97", ," 0,27", ,"-5,78", ,"79,94", ," 0,20", ," 4,92", ,"80,21", ," 0,33", ,"14,74", ,"-52,06",a,"54,80",a,"-3,32",a," 0,00", ," 3,18", ,"79,97", ," 0,34", ," 2,02", ,"80,01", ," 0,31", ,"-5,50", ,"79,94", ," 0,22", ," 3,47", ,"80,17", ," 0,36", ,"14,74", ,"-0,87", ,"77,78", ," 0,01", ," 0,00", 
102,"2022-01-28 21:21:47,7"," 2,89", ,"79,94", ," 0,32", ," 1,45", ,"80,01", ," 0,29", ,"-5,78", ,"79,94", ," 0,20", ," 4,05", ,"80,14", ," 0,35", ,"14,74", ,"-22,56",a,"72,14", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,36", ," 1,45", ,"79,97", ," 0,32", ,"-5,78", ,"79,94", ," 0,22", ," 2,60", ,"80,11", ," 0,39", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
103,"2022-01-28 21:26:48,4"," 2,89", ,"79,94", ," 0,34", ," 1,45", ,"79,97", ," 0,30", ,"-6,07", ,"79,94", ," 0,20", ," 3,76", ,"80,14", ," 0,35", ,"14,72", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,36", ," 1,45", ,"80,01", ," 0,34", ,"-5,78", ,"79,94", ," 0,22", ," 2,02", ,"80,11", ," 0,39", ,"14,74", ,"-22,27",a,"67,32", ," 0,01", ," 0,00", 
104,"2022-01-28 21:31:48,7"," 3,18", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,28", ,"-5,78", ,"79,94", ," 0,22", ," 4,63", ,"80,17", ," 0,34", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,18", ,"79,97", ," 0,35", ," 2,02", ,"79,97", ," 0,32", ,"-5,78", ,"79,94", ," 0,23", ," 2,89", ,"80,17", ," 0,38", ,"14,74", ,"-20,25", ,"66,27", ,"-3,87",a," 0,00", 
105,"2022-01-28 21:36:49,1"," 2,89", ,"79,90", ," 0,33", ," 1,74", ,"79,97", ," 0,29", ,"-6,36", ,"79,94", ," 0,24", ," 4,92", ,"80,17", ," 0,34", ,"14,74", ,"-60,45",a,"54,77",a,"-5,03",a," 0,00", ," 3,18", ,"79,94", ," 0,36", ," 1,74", ,"79,97", ," 0,32", ,"-6,07", ,"79,97", ," 0,25", ," 2,89", ,"80,17", ," 0,38", ,"14,72", ,"-54,38",a,"57,30",a,"-1,71", ," 0,00", 
106,"2022-01-28 21:41:49,2"," 2,89", ,"79,94", ," 0,33", ," 1,74", ,"80,01", ," 0,29", ,"-6,07", ,"79,94", ," 0,22", ," 4,63", ,"80,17", ," 0,34", ,"14,74", ,"-60,45",a,"55,00",a,"-3,69",a," 0,00", ," 3,18", ,"79,97", ," 0,36", ," 1,74", ,"80,01", ," 0,32", ,"-6,07", ,"79,94", ," 0,24", ," 3,18", ,"80,14", ," 0,38", ,"14,76", ,"-8,97", ,"76,46", ," 0,01", ," 0,00", 
107,"2022-01-28 21:46:49,6"," 2,89", ,"79,97", ," 0,33", ," 1,45", ,"79,97", ," 0,29", ,"-5,78", ,"79,94", ," 0,22", ," 5,50", ,"80,24", ," 0,32", ,"14,74", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,94", ," 0,36", ," 1,74", ,"79,97", ," 0,32", ,"-5,78", ,"79,94", ," 0,23", ," 4,05", ,"80,17", ," 0,36", ,"14,74", ,"-53,51",a,"55,88",a,"-5,03",a," 0,00", 
108,"2022-01-28 21:51:49,7"," 2,89", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,29", ,"-5,78", ,"79,94", ," 0,21", ," 5,50", ,"80,24", ," 0,33", ,"14,74", ,"-30,08",a,"63,67",a,"-4,27",a," 0,00", ," 2,89", ,"79,94", ," 0,36", ," 1,74", ,"80,01", ," 0,32", ,"-5,50", ,"79,94", ," 0,23", ," 4,05", ,"80,21", ," 0,36", ,"14,74", ,"-61,61",a,"53,75",a,"-5,03",a," 0,00", 
109,"2022-01-28 21:56:50,0"," 2,89", ,"79,94", ," 0,32", ," 1,74", ,"79,97", ," 0,28", ,"-5,50", ,"79,94", ," 0,20", ," 5,78", ,"80,24", ," 0,32", ,"14,74", ,"-38,18",a,"58,28",a,"-1,43", ," 0,00", ," 2,89", ,"79,97", ," 0,36", ," 2,02", ,"80,01", ," 0,32", ,"-5,50", ,"79,94", ," 0,22", ," 4,05", ,"80,21", ," 0,36", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
